GEO_ID,NAME,S1902_C01_001E
id,Geographic Area Name,Total!!Estimate!!All households
0500000US39049,"Franklin County, Ohio",471438
0500000US39055,"Geauga County, Ohio",34204
0500000US39057,"Greene County, Ohio",62465
0500000US39061,"Hamilton County, Ohio",328390
0500000US39063,"Hancock County, Ohio",30064
0500000US39081,"Jefferson County, Ohio",28625
0500000US39085,"Lake County, Ohio",95087
0500000US39089,"Licking County, Ohio",63160
0500000US39093,"Lorain County, Ohio",115670
0500000US39095,"Lucas County, Ohio",176924
0500000US39099,"Mahoning County, Ohio",96689
0500000US39101,"Marion County, Ohio",24496
0500000US39103,"Medina County, Ohio",65593
0500000US39109,"Miami County, Ohio",41261
0500000US39113,"Montgomery County, Ohio",221121
0500000US39119,"Muskingum County, Ohio",33675
0500000US39133,"Portage County, Ohio",59712
0500000US39139,"Richland County, Ohio",48529
0500000US39141,"Ross County, Ohio",27948
0500000US39145,"Scioto County, Ohio",28927
0500000US39151,"Stark County, Ohio",150470
0500000US39153,"Summit County, Ohio",221175
0500000US39155,"Trumbull County, Ohio",86992
0500000US39157,"Tuscarawas County, Ohio",36699
0500000US39165,"Warren County, Ohio",77718
0500000US39169,"Wayne County, Ohio",42246
0500000US39173,"Wood County, Ohio",50219
0500000US40017,"Canadian County, Oklahoma",41932
0500000US40027,"Cleveland County, Oklahoma",97706
0500000US40031,"Comanche County, Oklahoma",43470
0500000US40037,"Creek County, Oklahoma",26628
0500000US40101,"Muskogee County, Oklahoma",26128
0500000US40109,"Oklahoma County, Oklahoma",284720
0500000US40119,"Payne County, Oklahoma",29867
0500000US40125,"Pottawatomie County, Oklahoma",26333
0500000US40131,"Rogers County, Oklahoma",33022
0500000US40143,"Tulsa County, Oklahoma",242564
0500000US40145,"Wagoner County, Oklahoma",27041
0500000US41003,"Benton County, Oregon",33395
0500000US41005,"Clackamas County, Oregon",146422
0500000US41017,"Deschutes County, Oregon",66086
0500000US41019,"Douglas County, Oregon",43348
0500000US41029,"Jackson County, Oregon",80957
0500000US41033,"Josephine County, Oregon",34048
0500000US41035,"Klamath County, Oregon",29287
0500000US41039,"Lane County, Oregon",146327
0500000US41043,"Linn County, Oregon",43905
0500000US41047,"Marion County, Oregon",114388
0500000US41051,"Multnomah County, Oregon",305576
0500000US41053,"Polk County, Oregon",28358
0500000US41059,"Umatilla County, Oregon",26371
0500000US41067,"Washington County, Oregon",203250
0500000US41071,"Yamhill County, Oregon",33995
0500000US42001,"Adams County, Pennsylvania",38102
0500000US42003,"Allegheny County, Pennsylvania",527219
0500000US42005,"Armstrong County, Pennsylvania",29099
0500000US42007,"Beaver County, Pennsylvania",70767
0500000US42011,"Berks County, Pennsylvania",151291
0500000US42013,"Blair County, Pennsylvania",50098
0500000US42017,"Bucks County, Pennsylvania",231626
0500000US42019,"Butler County, Pennsylvania",73318
0500000US42021,"Cambria County, Pennsylvania",58228
0500000US42025,"Carbon County, Pennsylvania",26476
0500000US42027,"Centre County, Pennsylvania",56980
0500000US42029,"Chester County, Pennsylvania",184574
0500000US42033,"Clearfield County, Pennsylvania",32186
0500000US42037,"Columbia County, Pennsylvania",26460
0500000US42039,"Crawford County, Pennsylvania",34792
0500000US42041,"Cumberland County, Pennsylvania",94453
0500000US42043,"Dauphin County, Pennsylvania",107336
0500000US42045,"Delaware County, Pennsylvania",204112
0500000US42049,"Erie County, Pennsylvania",109973
0500000US42051,"Fayette County, Pennsylvania",53599
0500000US42055,"Franklin County, Pennsylvania",58515
0500000US42063,"Indiana County, Pennsylvania",34934
0500000US42069,"Lackawanna County, Pennsylvania",85491
0500000US42071,"Lancaster County, Pennsylvania",194198
0500000US42073,"Lawrence County, Pennsylvania",37154
0500000US42075,"Lebanon County, Pennsylvania",52424
0500000US42077,"Lehigh County, Pennsylvania",133861
0500000US42079,"Luzerne County, Pennsylvania",129158
